Price,Sq Feet,Bathrooms,Lot Size,Median Income
531,6.4,4,16,288
489,3.2,2,13,77
256,3.4,2,5,42
447,5.7,3,13,314
459,5.9,3,8,82
452,4.1,3,8,57
381,6.3,4,9,42
301,2.4,2,8,179
183,2.9,2,9,75
228,2.8,2,7,68
388,3.7,2,9,238
380,4.9,3,9,32
472,5.9,3,10,535
233,3.1,2,4,32
826,12.8,7,17,483
400,5.5,3,10,294
120,4.1,3,7,98
275,4.5,2,7,212
141,2.4,2,8,68
523,9.6,4,11,425
172,2.3,1,1,56
321,3.5,1,9,152
259,3.3,2,4,36
198,2.2,2,5,108
317,6.1,4,6,58
288,4,3,3,133
284,5.4,2,6,161
281,4.6,3,9,74
243,2.6,2,7,36
111,2.2,1,3,133
265,4.4,3,11,63
214,2.1,2,6,84
121,2.3,1,9,76
381,5.1,2,5,310
258,3.3,2,5,145
209,3.7,1,8,99
294,4.7,3,6,259
270,2.8,2,8,62
202,2.3,2,6,163
485,5.2,2,9,134
344,4.9,3,10,453
356,2.4,2,9,153
274,2.5,2,6,39
397,4.1,2,8,50
203,2.1,2,8,98
298,3,2,7,338
408,6.5,4,13,71
262,3.1,2,8,80
502,4.6,2,7,146
465,5.8,3,7,61
396,5.2,2,10,219
201,3.5,1,9,110
452,4.4,3,6,401
365,3.4,2,8,131
158,4.3,2,5,36
397,2.7,2,2,57
192,3.5,2,2,97
298,5.7,3,11,85
309,3.6,2,10,200
427,6.2,2,8,320
345,4,3,11,147
237,2.1,2,5,41
369,2.7,2,5,170
202,3.2,2,3,334
354,3.9,2,7,53
186,4.2,2,8,102
346,3.2,1,5,268
358,2.9,2,5,58
556,7.1,2,14,479
143,2.3,2,6,43
432,3.8,2,8,43
378,3.6,2,7,110
207,3.1,2,3,39
332,4.4,3,1,312
382,4.1,3,8,414
254,3.2,1,9,53
324,4.6,2,8,57
337,3.7,2,4,263
265,2.9,1,1,173
371,6.1,4,9,121
265,2.2,1,6,44
285,4.6,3,7,224
247,3.6,2,4,254
358,2.3,2,11,93
279,3.3,1,6,80
416,6.5,4,14,268
282,2.2,2,6,64
423,3.9,2,7,195
467,4,2,9,145
335,3.2,2,7,387
316,5.2,1,13,112
136,2.9,2,3,59
319,3.6,2,8,184
309,2.9,1,11,128
353,2.5,2,9,59
277,2.2,2,7,232
347,3.1,2,4,214
216,4.7,2,9,43
347,4,3,8,37
200,3.7,1,7,31
346,3.4,2,14,102
351,3.3,2,8,118
392,8.3,3,9,54
156,2.6,2,6,79
192,2.8,1,7,63
477,7.3,4,10,165
208,2.2,2,4,86
371,2.9,2,9,141
258,2.4,2,10,136
172,3.8,2,7,60
452,5,3,10,363
260,2.3,2,6,67
197,3.3,2,9,41
650,10,4,21,104
409,4.9,2,8,101
174,2.7,2,8,86
243,2.9,2,7,253
155,3.3,2,14,38
380,4.6,3,6,191
474,4.3,1,9,154
395,4.7,3,16,233
286,2.5,2,8,35
232,3,2,8,69
522,6.3,3,13,35
235,2.1,2,9,74
377,4.4,3,6,188
196,3.2,2,12,115
286,3.5,2,6,43
432,4.2,3,4,184
285,2.8,2,10,222
392,2.9,2,7,92
510,5.6,3,8,475
77,2.9,2,2,55
281,2.7,1,9,84
329,4.9,3,7,35
420,2.5,2,7,98
250,3.5,2,9,194
438,4.8,3,9,214
213,2.8,2,3,35
429,4.1,3,3,469
364,4.7,2,7,188
332,2.5,2,6,226
315,3.2,2,6,177
679,9.1,4,13,608
345,5.2,3,6,336
149,2.7,2,12,71
345,5.3,2,9,66
484,7.9,2,13,668
350,4.5,3,7,139
239,4,2,6,289
