Sales,Volume,Site
1756,2933,Site 1
2203,3329,Site 1
1848,3043,Site 1
2016,3043,Site 1
2346,3450,Site 1
2410,3478,Site 1
2050,3347,Site 1
2097,3708,Site 1
2311,3467,Site 1
2419,4114,Site 1
2523,3721,Site 1
2061,3448,Site 1
2247,3230,Site 1
3479,3557,Site 1
2135,3060,Site 1
2102,3619,Site 1
2536,3256,Site 1
1227,1757,Site 1
1966,2891,Site 1
2219,3381,Site 1
2226,2970,Site 1
1969,3301,Site 1
2044,3178,Site 1
2360,3426,Site 1
1907,3118,Site 1
2156,3037,Site 1
1816,3537,Site 1
1897,3808,Site 1
2051,3145,Site 1
2079,3766,Site 1
2328,2916,Site 1
1841,3957,Site 1
2104,3980,Site 1
1973,3675,Site 1
2089,3516,Site 1
2266,4149,Site 1
2327,3733,Site 1
2032,3738,Site 1
2137,4012,Site 1
2186,4114,Site 1
2369,3795,Site 1
2087,3543,Site 1
2273,3681,Site 1
2113,3618,Site 1
2181,4452,Site 1
2776,4346,Site 1
2652,4073,Site 1
2250,4260,Site 1
2548,4113,Site 1
2678,3829,Site 1
2878,4137,Site 1
2220,4269,Site 1
2303,3989,Site 1
2718,4238,Site 1
2317,3658,Site 1
2338,4005,Site 1
2143,3996,Site 1
2402,4077,Site 1
2401,3610,Site 1
2051,3701,Site 1
2468,3844,Site 1
2398,3904,Site 1
2106,3879,Site 1
2461,3266,Site 1
2466,3513,Site 1
2745,4052,Site 1
1994,4052,Site 1
2020,2874,Site 1
2241,3526,Site 1
2648,3487,Site 1
2022,3499,Site 1
2524,3236,Site 1
1919,2422,Site 1
2164,2876,Site 1
2074,2883,Site 1
2310,2771,Site 1
2062,2362,Site 1
1807,2564,Site 1
1976,2708,Site 1
2171,2519,Site 1
1745,2638,Site 1
2108,3448,Site 1
2057,1993,Site 1
1679,2560,Site 1
2014,2777,Site 1
2109,3097,Site 1
2274,2750,Site 1
2640,3260,Site 1
1664,2050,Site 1
1913,2921,Site 1
2331,2970,Site 1
1920,2624,Site 1
2074,3496,Site 1
2272,3729,Site 1
1651,2302,Site 1
1996,2672,Site 1
2093,3150,Site 1
1995,2948,Site 1
2337,3520,Site 1
2433,3195,Site 1
1731,2232,Site 1
2183,2979,Site 1
1795,3178,Site 1
1689,2618,Site 1
2040,3117,Site 1
2076,2847,Site 1
1483,2150,Site 1
930,1528,Site 1
1674,2309,Site 1
1934,2805,Site 1
2011,2721,Site 1
2172,2812,Site 1
1612,2173,Site 1
1780,2767,Site 1
2116,2544,Site 1
1937,2805,Site 1
1866,2131,Site 1
2099,3292,Site 1
2082,2221,Site 1
1788,2816,Site 1
2004,2686,Site 1
1868,3207,Site 1
2038,2925,Site 1
2596,3603,Site 1
1700,2165,Site 1
1815,3338,Site 1
1917,3107,Site 1
2143,2906,Site 1
2420,3448,Site 1
2486,3433,Site 1
