Model,MPG,Weight
2003 Acura RSX 5-speed MT Current,27,2.694
2003 Acura 3.2 CL 5-spd AT Current,20,3.47
2003 Acura 3.5 RL Sedan Current,18,3.898
2003 Acura NSX 3.2 6-Speed MT Current,17,3.153
2003 Acura MDX Sport Utility Current,17,4.42
2004 Acura TSX 6-speed MT Current,21,3.23
2003 Audi S6 Avant Current,15,4.024
2003 Audi A8 4.2 Current,17,4.068
2003 Audi S8 4.2 Current,16,4.068
2004 Audi A4 1.8 T Current,22,3.252
2004 Audi TT 180 Coupe FrontTrak Current,21,2.921
2004 Audi allroad quattro 2.7 T Current,16,4.178
2004 Audi A6 3.0 with Multitronic Current,20,3.561
2003 BMW Z4 roadster 2.5i Current,20,2.965
2003 BMW 5 Series 525i sedan Current,20,3.4775
2003 BMW M3 Coupe Current,16,3.415
2003 BMW 7 Series 745i Sedan Current,18,4.376
2003 BMW X5 3.0i Sports Activity Vehicle Current,15,4.5595
2004 BMW 3 Series 325Ci Coupe Current,20,3.241
2004 Buick Century Sedan Current,20,3.342
2004 Buick Regal LS Current,19,3.418
2004 Buick LeSabre Custom Current,20,3.567
2004 Buick Rendezvous FWD CX Current,19,4.024
2004 Buick Park Avenue Sedan Current,20,3.778
2004 Cadillac XLR Convertible Current,17,3.647
2004 Cadillac SRX V6 Current,18,4.164
2004 Cadillac CTS Sedan Current,18,3.5385
2004 Cadillac DeVille Sedan Current,18,3.978
2004 Cadillac Seville SLS Current,18,3.969
2004 Cadillac Escalade 2WD Current,14,5.367
2004 Chevrolet Cavalier Coupe Current,26,2.617
2004 Chevrolet Malibu Sedan Current,23,3.174
2004 Chevrolet Impala Sedan Current,21,3.389
2004 Chevrolet Monte Carlo LS Current,21,3.34
2004 Chevrolet Corvette Coupe Current,18,3.214
2004 Chevrolet Tracker Base 2WD Current,19,2.906
2004 Chevrolet TrailBlazer LS 2WD Current,16,4.425
2004 Chevrolet Blazer 2-Door 2WD LS Current,15,3.611
2004 Chevrolet Tahoe 2WD Current,14,4.828
2004 Chevrolet Suburban 1500 2WD Current,14,5.323
2004 Chevrolet Venture Regular Wheelbase Plus Current,19,3.699
2004 Chevrolet Astro Passenger Van Rear Wheel Drive Current,16,4.321
2004 Chevrolet Express Passenger Van 1500 Regular Wheelbase Current,15,5.245
2003 Chevrolet Truck S-10 Regular Cab Short Box 2WD Current,22,2.972
2003 Chrysler PT Cruiser Base Current,21,3.149
2003 Chrysler Voyager Base Current,21,3.869
2004 Chrysler Sebring Sedan LX [Pre August Production] Current,21,3.201
2004 Chrysler Concorde LX Current,21,3.479
2004 Chrysler Pacifica FWD Current,17,4.482
2004 Chrysler 300M Sedan Current,18,3.581
2004 Chrysler Crossfire Coupe Current,18,3.072
2003 Dodge Neon SE Current,29,2.608
2004 Dodge Intrepid SE Current,21,3.469
2003 Dodge Caravan SE Current,21,3.869
2003 Dodge Durango Sport 4X2 Current,14,4.379
2003 Dodge Truck Dakota Regular Cab 4X2 Base Current,15,3.512
2003 Ford ZX2 Standard Current,26,2.4895
2003 Ford Focus ZX3 - 100A Current,26,2.551
2003 Ford Taurus LX Standard Sedan - 100A Current,20,3.336
2004 Ford SVT Focus 3-Door Current,21,2.75
2004 Ford Mustang Standard Coupe Current,20,3.29
2004 Ford SVT Mustang Cobra Coupe Current,16,3.665
2004 Ford Crown Victoria Standard Current,17,4.057
2004 Ford Thunderbird Deluxe Current,17,3.775
2003 Ford Windstar Wagon Base Current,17,4.017
2004 Ford Escape XLS 4X2 Value Current,23,3.019
2004 Ford Expedition XLS 4x2 4.6L Current,15,5.218
2004 Ford E-Series Wagon E-150 XL Current,14,5.147
2004 Ford Focus ZX3 Current,25,2.612
2003 Ford Truck Ranger Regular Cab 4x2 112-in. WB XL Styleside - 411A Current,24,3.1285
2004 GMC Envoy SLE 2WD Current,16,4.432
2004 GMC Yukon 2WD Current,14,5.037
2004 GMC Safari Passenger Van Rear Wheel Drive Current,16,4.321
2004 GMC Savana Passenger Van G1500 Regular Wheelbase RWD Current,15,5.245
2003 GMC Truck Sonoma Regular Cab SL Short Box 2WD Current,22,3.002
2003 Honda Civic Coupe DX 5-spd MT Current,32,2.403
2003 Honda Accord Coupe LX 5-spd MT Current,26,2.994
2003 Honda S2000 6-spd MT Current,20,2.81
2003 Honda Element DX 2WD 5-spd MT Current,21,3.33
2003 Honda CR-V LX 2WD 4-spd AT Current,23,3.201
2003 Honda Pilot LX 5-spd AT Current,17,4.416
2003 Honda Odyssey LX 5-spd AT Current,18,4.299
2003 Hyundai Accent 3-door Current,29,2.255
2003 Hyundai Elantra GLS Current,24,2.6665
2003 Hyundai Tiburon Base Current,23,2.9685
2003 Hyundai Sonata Sedan Current,22,3.199
2003 Hyundai Santa Fe Base Current,20,3.534
2003 Hyundai XG 350 Sedan Current,17,3.651
2003 Infiniti G35 Sport Sedan Current,19,3.336
2003 Infiniti I35 Luxury Current,20,3.306
2003 Infiniti M45 Sedan Current,17,3.851
2003 Infiniti QX4 4-Door Luxury SUV 4x2 Current,16,4.074
2003 Infiniti Q45 Luxury Current,17,3.977
2003 Infiniti FX35 2WD Current,17,4.046
2003 Infiniti FX45 AWD Current,15,4.299
2003 Isuzu Rodeo Sport S 2WD Soft Top Current,20,3.557
2003 Isuzu Axiom S 2WD Current,17,3.917
2003 Isuzu Ascender S 4X2 Current,15,4.79
2003 Jaguar X-Type 2.5-Liter Current,19,3.472
2003 Jaguar S-Type 3.0-Liter Current,18,3.736
2003 Jaguar XK Series XK8 Coupe Current,18,3.759
2004 Jaguar XJ XJ8 Current,18,3.766
2003 Jeep Wrangler SE Current,18,3.235
2003 Jeep Liberty Sport 2WD Current,19,3.747
2003 Jeep Grand Cherokee Laredo 2WD Current,16,3.786
2003 Kia Rio Sedan Current,26,2.4305
2003 Kia Spectra Sedan Current,24,2.689
2003 Kia Optima LX Current,23,3.291
