Week,Sales,Price
1,61780.7856,0.99954485
2,65434.9755,0.976245
3,71924.2314,0.94352497
4,83322.1749,0.92723133
5,63124.0687,0.98778114
6,70469.1765,0.96871276
7,68195.6712,0.98399164
8,60715.1877,1.01187029
9,59866.8892,1.01765331
10,57471.8602,1.035682
11,56062.1932,1.04338895
12,54450.2809,1.05943789
13,54177.4584,1.07227476
14,51120.386,1.07332413
15,53068.0152,1.04479113
16,54875.844,1.04629422
17,64128.8796,0.99079895
18,74369.3536,0.95464452
19,71731.4939,0.9534932
20,69470.5089,0.95805815
21,66879.0548,0.98329854
22,55948.0274,1.02851134
23,57962.0495,1.03367061
24,66262.6562,0.99134036
25,67922.2466,1.03856261
26,59661.6976,1.03061497
27,63050.2862,0.98068365
28,72730.2516,0.96685581
29,64574.224,0.97045466
30,64149.3648,0.98515614
31,59183.2598,1.02452313
32,51964.3011,1.05143907
33,52615.7522,1.06538548
34,54013.7815,1.05983938
35,60574.4026,1.02283047
36,64057.5244,0.9890378
37,64508.9699,0.98759522
38,60551.1012,1.00227761
39,53407.1276,1.06150054
40,50121.3713,1.06396262
41,48961.1393,1.10052186
42,50609.8967,1.10936392
43,50289.7742,1.11270884
44,48318.4505,1.11144941
45,43977.7434,1.10558498
46,51794.064,1.1047516
47,51584.8496,1.1089854
48,47968.0281,1.1061318
49,50423.8217,1.10220316
50,48856.4767,1.10179746
51,52859.3474,1.08795024
52,46773.9534,1.14050722
53,50128.0143,1.09591153
54,60983.8245,1.0242093
55,55817.3754,1.02702609
56,62798.3079,1.01073569
57,60837.7015,1.0230745
58,58590.4118,1.05183374
59,50781.8918,1.07196146
60,51595.5504,1.05313746
61,55280.6119,1.05719572
62,56620.1507,1.03401457
63,46169.4366,1.08776714
64,53472.4147,1.1182971
65,46947.0236,1.11363245
66,43808.6967,1.14042806
67,43332.4813,1.17822706
68,41702.9746,1.21205817
69,39761.9203,1.22251157
70,35416.3755,1.29343883
71,29987.0166,1.31291693
72,26582.4322,1.31980626
73,38515.9952,1.22226336
74,47190.5243,1.1182627
75,50067.5867,1.11439079
76,49858.0685,1.10212552
77,46546.9815,1.10745555
78,35538.9888,1.25274655
79,34369.6103,1.26220405
80,35788.1789,1.26510739
81,33090.5414,1.25971177
82,32265.9813,1.26819268
83,34301.148,1.27849287
84,37605.106,1.27373645
85,33063.9055,1.28732591
86,35483.5958,1.32437463
87,37245.9165,1.33590868
88,31492.7716,1.32029532
89,35508.8191,1.25844551
90,43702.2426,1.14447973
91,44603.9648,1.1621472
92,40973.4193,1.1795728
93,41945.874,1.15995924
94,43014.762,1.20658383
95,39813.7446,1.21016974
96,47725.4366,1.22230778
97,33834.6362,1.26375513
98,39020.6873,1.30928127
99,30232.6273,1.3288243
100,28854.8499,1.3173828
101,151498.358,0.69647934
102,116579.393,0.79925411
103,75886.1553,0.91534747
104,61498.0688,1.00850171
