"schedtime","carrier","dest","distance","date","flightnumber","origin","weather","dayweek","daymonth","delay"
"14","OH","JFK",184,"1/1/2004",5935,"BWI",0,4,1,0
"16","DH","JFK",213,"1/1/2004",6155,"DCA",0,4,1,0
"12","DH","LGA",229,"1/1/2004",7208,"IAD",0,4,1,0
"17","DH","LGA",229,"1/1/2004",7215,"IAD",0,4,1,0
"10","DH","LGA",229,"1/1/2004",7792,"IAD",0,4,1,0
"8","DH","JFK",228,"1/1/2004",7800,"IAD",0,4,1,0
"12","DH","JFK",228,"1/1/2004",7806,"IAD",0,4,1,0
"16","DH","JFK",228,"1/1/2004",7810,"IAD",0,4,1,0
"17","DH","JFK",228,"1/1/2004",7812,"IAD",0,4,1,0
"21","DH","JFK",228,"1/1/2004",7814,"IAD",0,4,1,0
"21","DH","LGA",229,"1/1/2004",7924,"IAD",0,4,1,0
"14","DL","JFK",213,"1/1/2004",746,"DCA",0,4,1,0
"9","DL","LGA",214,"1/1/2004",1746,"DCA",0,4,1,0
"12","DL","LGA",214,"1/1/2004",1752,"DCA",0,4,1,0
"14","DL","LGA",214,"1/1/2004",1756,"DCA",0,4,1,0
"17","DL","LGA",214,"1/1/2004",1762,"DCA",0,4,1,0
"20","DL","LGA",214,"1/1/2004",1768,"DCA",0,4,1,0
"15","MQ","JFK",213,"1/1/2004",4752,"DCA",0,4,1,0
"6","MQ","JFK",213,"1/1/2004",4760,"DCA",0,4,1,0
"18","MQ","JFK",213,"1/1/2004",4784,"DCA",0,4,1,0
"9","MQ","LGA",214,"1/1/2004",4956,"DCA",0,4,1,0
"13","MQ","LGA",214,"1/1/2004",4964,"DCA",0,4,1,0
"14","MQ","LGA",214,"1/1/2004",4966,"DCA",0,4,1,0
"15","MQ","LGA",214,"1/1/2004",4968,"DCA",0,4,1,0
"19","MQ","LGA",214,"1/1/2004",4976,"DCA",0,4,1,0
"8","UA","LGA",229,"1/1/2004",846,"IAD",0,4,1,0
"9","US","LGA",214,"1/1/2004",2164,"DCA",0,4,1,0
"11","US","LGA",214,"1/1/2004",2168,"DCA",0,4,1,0
"13","US","LGA",214,"1/1/2004",2172,"DCA",0,4,1,0
"15","US","LGA",214,"1/1/2004",2176,"DCA",0,4,1,0
"17","US","LGA",214,"1/1/2004",2180,"DCA",0,4,1,0
"21","US","LGA",214,"1/1/2004",2188,"DCA",0,4,1,0
"14","RU","EWR",169,"1/1/2004",2403,"BWI",0,4,1,0
"17","RU","EWR",169,"1/1/2004",2675,"BWI",0,4,1,0
"10","RU","EWR",169,"1/1/2004",2303,"BWI",0,4,1,0
"7","RU","EWR",169,"1/1/2004",2703,"BWI",0,4,1,0
"13","CO","EWR",199,"1/1/2004",808,"DCA",0,4,1,0
"17","CO","EWR",199,"1/1/2004",814,"DCA",0,4,1,0
"8","DH","EWR",213,"1/1/2004",7299,"IAD",0,4,1,0
"17","DH","EWR",213,"1/1/2004",7302,"IAD",0,4,1,0
"12","DH","EWR",213,"1/1/2004",7303,"IAD",0,4,1,0
"21","DH","EWR",213,"1/1/2004",7304,"IAD",0,4,1,0
"17","RU","EWR",213,"1/1/2004",2497,"IAD",0,4,1,0
"19","RU","EWR",213,"1/1/2004",2385,"IAD",0,4,1,0
"15","RU","EWR",199,"1/1/2004",2261,"DCA",0,4,1,0
"19","RU","EWR",199,"1/1/2004",2336,"DCA",0,4,1,0
"14","RU","EWR",199,"1/1/2004",2216,"DCA",0,4,1,0
"15","RU","EWR",213,"1/1/2004",2156,"IAD",0,4,1,0
"13","RU","EWR",213,"1/1/2004",2664,"IAD",0,4,1,0
"16","RU","EWR",199,"1/1/2004",2181,"DCA",0,4,1,0
"14","OH","JFK",184,"1/2/2004",5935,"BWI",0,5,2,0
"16","DH","JFK",213,"1/2/2004",6155,"DCA",0,5,2,0
"12","DH","LGA",229,"1/2/2004",7208,"IAD",0,5,2,0
"14","DH","LGA",229,"1/2/2004",7211,"IAD",0,5,2,1
"17","DH","LGA",229,"1/2/2004",7215,"IAD",0,5,2,0
"6","DH","LGA",229,"1/2/2004",7790,"IAD",0,5,2,0
"10","DH","LGA",229,"1/2/2004",7792,"IAD",0,5,2,1
"8","DH","JFK",228,"1/2/2004",7800,"IAD",0,5,2,0
"12","DH","JFK",228,"1/2/2004",7806,"IAD",0,5,2,0
"14","DH","JFK",228,"1/2/2004",7808,"IAD",0,5,2,0
"16","DH","JFK",228,"1/2/2004",7810,"IAD",0,5,2,0
"17","DH","JFK",228,"1/2/2004",7812,"IAD",0,5,2,0
"21","DH","JFK",228,"1/2/2004",7814,"IAD",0,5,2,1
"16","DH","JFK",228,"1/2/2004",7816,"IAD",0,5,2,0
"21","DH","LGA",229,"1/2/2004",7924,"IAD",0,5,2,0
"14","DL","JFK",213,"1/2/2004",746,"DCA",0,5,2,0
"9","DL","LGA",214,"1/2/2004",1746,"DCA",0,5,2,0
"12","DL","LGA",214,"1/2/2004",1752,"DCA",0,5,2,0
"14","DL","LGA",214,"1/2/2004",1756,"DCA",0,5,2,0
"17","DL","LGA",214,"1/2/2004",1762,"DCA",0,5,2,0
"20","DL","LGA",214,"1/2/2004",1768,"DCA",0,5,2,0
"15","MQ","JFK",213,"1/2/2004",4752,"DCA",0,5,2,0
"6","MQ","JFK",213,"1/2/2004",4760,"DCA",0,5,2,0
"18","MQ","JFK",213,"1/2/2004",4784,"DCA",0,5,2,0
"9","MQ","LGA",214,"1/2/2004",4956,"DCA",0,5,2,0
"11","MQ","LGA",214,"1/2/2004",4960,"DCA",0,5,2,0
"13","MQ","LGA",214,"1/2/2004",4964,"DCA",0,5,2,0
"14","MQ","LGA",214,"1/2/2004",4966,"DCA",0,5,2,0
"15","MQ","LGA",214,"1/2/2004",4968,"DCA",0,5,2,0
"8","UA","LGA",229,"1/2/2004",846,"IAD",0,5,2,0
"7","US","LGA",214,"1/2/2004",2160,"DCA",0,5,2,0
"9","US","LGA",214,"1/2/2004",2164,"DCA",0,5,2,0
"11","US","LGA",214,"1/2/2004",2168,"DCA",0,5,2,0
"13","US","LGA",214,"1/2/2004",2172,"DCA",0,5,2,0
"15","US","LGA",214,"1/2/2004",2176,"DCA",0,5,2,0
"17","US","LGA",214,"1/2/2004",2180,"DCA",0,5,2,0
"19","US","LGA",214,"1/2/2004",2184,"DCA",0,5,2,0
"21","US","LGA",214,"1/2/2004",2188,"DCA",0,5,2,0
"17","RU","EWR",169,"1/2/2004",2675,"BWI",0,5,2,0
"10","RU","EWR",169,"1/2/2004",2303,"BWI",0,5,2,0
"7","RU","EWR",169,"1/2/2004",2703,"BWI",0,5,2,0
"14","RU","EWR",169,"1/2/2004",2403,"BWI",0,5,2,0
"17","CO","EWR",199,"1/2/2004",814,"DCA",0,5,2,0
"13","CO","EWR",199,"1/2/2004",808,"DCA",0,5,2,0
"7","CO","EWR",199,"1/2/2004",806,"DCA",0,5,2,0
"8","DH","EWR",213,"1/2/2004",7299,"IAD",0,5,2,0
"12","DH","EWR",213,"1/2/2004",7303,"IAD",0,5,2,1
"14","DH","EWR",213,"1/2/2004",7307,"IAD",0,5,2,1
"6","DH","EWR",213,"1/2/2004",7371,"IAD",0,5,2,0
"16","RU","EWR",199,"1/2/2004",2181,"DCA",0,5,2,0
"7","RU","EWR",213,"1/2/2004",2855,"IAD",0,5,2,0
"9","RU","EWR",199,"1/2/2004",2582,"DCA",0,5,2,0
"7","RU","EWR",199,"1/2/2004",2761,"DCA",0,5,2,0
"17","RU","EWR",213,"1/2/2004",2497,"IAD",0,5,2,0
"19","RU","EWR",213,"1/2/2004",2385,"IAD",0,5,2,0
"13","RU","EWR",213,"1/2/2004",2692,"IAD",0,5,2,0
"9","RU","EWR",213,"1/2/2004",3276,"IAD",0,5,2,0
"19","RU","EWR",199,"1/2/2004",2336,"DCA",0,5,2,0
"21","RU","EWR",199,"1/2/2004",2879,"DCA",0,5,2,0
"14","RU","EWR",199,"1/2/2004",2216,"DCA",0,5,2,0
"15","RU","EWR",213,"1/2/2004",2156,"IAD",0,5,2,1
"15","RU","EWR",199,"1/2/2004",2261,"DCA",0,5,2,0
"12","DH","LGA",229,"1/3/2004",7208,"IAD",0,6,3,0
"17","DH","LGA",229,"1/3/2004",7215,"IAD",0,6,3,0
"6","DH","LGA",229,"1/3/2004",7790,"IAD",0,6,3,0
"10","DH","LGA",229,"1/3/2004",7792,"IAD",0,6,3,0
"8","DH","JFK",228,"1/3/2004",7800,"IAD",0,6,3,0
"12","DH","JFK",228,"1/3/2004",7806,"IAD",0,6,3,0
"14","DH","JFK",228,"1/3/2004",7808,"IAD",0,6,3,0
"16","DH","JFK",228,"1/3/2004",7810,"IAD",0,6,3,0
