Brand Purchased
Coke Classic
Diet Coke
Pepsi
Diet Coke
Coke Classic
Coke Classic
Dr. Pepper
Diet Coke
Pepsi
Pepsi
Coke Classic
Dr. Pepper
Sprite
Coke Classic
Diet Coke
Coke Classic
Coke Classic
Sprite
Coke Classic
Diet Coke
Coke Classic
Diet Coke
Coke Classic
Sprite
Pepsi
Coke Classic
Coke Classic
Coke Classic
Pepsi
Coke Classic
Sprite
Dr. Pepper
Pepsi
Diet Coke
Pepsi
Coke Classic
Coke Classic
Coke Classic
Pepsi
Dr. Pepper
Coke Classic
Diet Coke
Pepsi
Pepsi
Pepsi
Pepsi
Coke Classic
Dr. Pepper
Pepsi
Sprite
