APR,LTV,FICO
9.83,0.662,600
10.85,0.703,580
11.18,0.854,500
11.78,0.926,540
12.99,0.787,600
11.66,0.854,530
11.21,0.851,610
13.14,0.716,540
10.07,0.942,640
12.87,0.717,620
10.58,0.936,560
12.24,0.683,570
13.92,0.74,560
12.8,0.516,540
11.77,0.909,520
11.97,0.694,540
14.01,0.513,510
12.23,0.728,510
13.03,0.597,530
11.92,0.823,500
13.51,0.911,540
13.3,0.843,590
9.68,0.827,620
12.12,0.915,560
12.11,0.758,560
10.72,0.963,580
12.45,0.819,600
12.18,0.939,580
10.86,0.893,620
11.1,0.64,570
11.51,0.628,530
11.73,0.752,560
13.87,0.632,490
12.83,0.582,520
12.69,0.69,560
15.48,0.664,500
8.15,0.877,700
13.56,0.556,530
9.92,0.944,620
11.94,0.79,620
10.26,0.947,650
10.84,0.774,600
12.62,0.739,440
12.87,0.512,480
10.99,0.71,610
12.78,0.577,470
14.91,0.759,470
12.1,0.871,570
10.56,0.814,580
9.93,0.585,600
11.04,0.853,630
12.95,0.947,510
13.86,0.63,530
12.1,0.927,560
13.05,0.665,560
13.18,0.874,540
11.62,0.902,520
10.62,0.93,630
8.98,0.937,650
10.91,0.515,550
13.52,0.731,570
13.37,0.647,500
11.93,0.966,550
11.49,0.53,570
10.87,0.525,550
11.27,0.722,560
13.26,0.769,560
14.19,0.993,510
10.36,0.928,610
14.85,0.64,480
14.41,0.538,490
11.61,0.72,580
8.9,0.796,690
12.84,0.894,530
12.42,0.723,550
10.76,0.846,590
13.44,0.724,490
13.17,0.837,480
11.39,0.867,580
13.02,0.737,510
13.64,0.973,530
14.49,0.536,390
12.2,0.691,500
11.97,0.998,550
14.68,0.811,560
11.14,0.933,620
11.28,0.586,530
10.52,0.838,610
9.32,0.708,600
13.05,0.662,490
14.83,0.532,500
10.98,0.905,640
14.01,0.73,550
11.79,0.598,540
10.75,0.806,560
13.13,0.602,510
13.65,0.647,530
12.19,0.528,530
13.28,0.657,520
13.59,0.723,580
11.94,0.592,540
11.77,0.931,520
10.11,0.967,670
10.35,0.811,570
13.82,0.723,480
11.86,0.772,560
15.46,0.618,510
9.47,0.682,630
14.59,0.581,480
13.84,0.611,470
11.78,0.665,570
10.45,0.997,590
17.17,0.6,530
12.88,0.596,490
11.2,0.747,650
11.88,0.645,540
12.62,0.872,510
11.49,0.806,620
13.5,0.984,610
12.57,0.595,530
14.18,0.695,490
10.91,0.991,550
8.48,0.989,670
16.83,0.805,470
9.15,0.848,610
11.64,0.73,550
14.71,0.511,460
10.98,0.843,600
14.04,0.571,500
11.97,0.514,500
12.98,0.981,460
14.59,0.569,510
13.95,0.767,530
10.67,0.855,580
12.33,0.74,540
14.1,0.688,530
12.08,0.66,520
12.93,0.683,540
12.34,0.687,530
12.97,0.712,500
13.13,0.579,540
10.02,0.989,630
13.26,0.661,630
10.55,0.959,660
13.56,0.651,470
11.89,0.607,580
11.13,0.994,570
13.24,0.616,480
11.12,0.584,530
13.9,0.601,450
12.31,0.775,590
11.01,0.988,570
11.51,0.899,620
13.37,0.854,470
10.88,0.983,600
11.72,0.951,640
13.22,0.797,530
10.75,0.918,610
14.23,0.517,440
11.21,0.772,520
10.15,0.793,610
10.75,0.756,550
11.39,0.691,570
10.51,0.847,560
8.79,0.779,630
13.25,0.823,580
13.05,0.572,480
9.82,0.989,580
10.49,0.844,580
12.29,0.711,530
12.18,0.873,590
9.34,0.976,650
11.79,0.514,550
10.91,0.756,590
14.4,0.757,520
12.44,0.901,480
11.85,0.808,580
10.18,0.752,620
14.16,0.721,540
14.4,0.55,480
11.79,0.829,520
