APR,LTV,FICO,Stated Income,Home Value
9.83,0.662,600,70,118
10.85,0.703,580,60,450
11.18,0.854,500,80,100
11.78,0.926,540,40,171
12.99,0.787,600,60,100
11.66,0.854,530,40,133
11.21,0.851,610,70,104
13.14,0.716,540,70,155
10.07,0.942,640,100,305
12.87,0.717,620,100,156
10.58,0.936,560,70,202
12.24,0.683,570,70,120
13.92,0.74,560,70,124
12.8,0.516,540,90,277
11.77,0.909,520,50,435
11.97,0.694,540,60,85
14.01,0.513,510,60,115
12.23,0.728,510,120,208
13.03,0.597,530,70,136
11.92,0.823,500,20,44
13.51,0.911,540,60,94
13.3,0.843,590,120,229
9.68,0.827,620,70,250
12.12,0.915,560,70,170
12.11,0.758,560,80,192
10.72,0.963,580,50,69
12.45,0.819,600,60,347
12.18,0.939,580,40,84
10.86,0.893,620,110,188
11.1,0.64,570,50,122
11.51,0.628,530,90,174
11.73,0.752,560,70,257
13.87,0.632,490,60,222
12.83,0.582,520,70,161
12.69,0.69,560,50,88
15.48,0.664,500,90,171
8.15,0.877,700,90,219
13.56,0.556,530,70,92
9.92,0.944,620,50,177
11.94,0.79,620,50,117
10.26,0.947,650,100,119
10.84,0.774,600,60,148
12.62,0.739,440,60,143
12.87,0.512,480,70,165
10.99,0.71,610,90,296
12.78,0.577,470,90,182
14.91,0.759,470,80,152
12.1,0.871,570,50,168
10.56,0.814,580,120,161
9.93,0.585,600,70,174
11.04,0.853,630,80,205
12.95,0.947,510,60,190
13.86,0.63,530,70,299
12.1,0.927,560,50,101
13.05,0.665,560,90,137
13.18,0.874,540,50,115
11.62,0.902,520,90,117
10.62,0.93,630,70,98
8.98,0.937,650,90,387
10.91,0.515,550,90,191
13.52,0.731,570,80,111
13.37,0.647,500,50,137
11.93,0.966,550,90,142
11.49,0.53,570,60,108
10.87,0.525,550,60,100
11.27,0.722,560,60,106
13.26,0.769,560,80,79
14.19,0.993,510,60,224
10.36,0.928,610,30,50
14.85,0.64,480,80,125
14.41,0.538,490,40,386
11.61,0.72,580,70,118
8.9,0.796,690,70,243
12.84,0.894,530,80,172
12.42,0.723,550,60,230
10.76,0.846,590,40,317
13.44,0.724,490,40,68
13.17,0.837,480,80,214
11.39,0.867,580,70,147
13.02,0.737,510,80,96
13.64,0.973,530,40,339
14.49,0.536,390,30,74
12.2,0.691,500,60,87
11.97,0.998,550,50,110
14.68,0.811,560,50,80
11.14,0.933,620,110,217
11.28,0.586,530,60,164
10.52,0.838,610,100,182
9.32,0.708,600,70,179
13.05,0.662,490,90,162
14.83,0.532,500,70,98
10.98,0.905,640,120,171
14.01,0.73,550,60,272
11.79,0.598,540,80,127
10.75,0.806,560,70,207
13.13,0.602,510,60,95
13.65,0.647,530,60,123
12.19,0.528,530,60,71
13.28,0.657,520,50,92
13.59,0.723,580,70,82
11.94,0.592,540,90,118
11.77,0.931,520,80,84
10.11,0.967,670,40,129
10.35,0.811,570,110,217
13.82,0.723,480,120,191
11.86,0.772,560,50,129
15.46,0.618,510,60,109
9.47,0.682,630,30,179
14.59,0.581,480,80,278
13.84,0.611,470,60,95
11.78,0.665,570,50,82
10.45,0.997,590,60,142
17.17,0.6,530,80,165
12.88,0.596,490,60,156
11.2,0.747,650,60,151
11.88,0.645,540,70,261
12.62,0.872,510,50,208
11.49,0.806,620,60,265
13.5,0.984,610,60,111
12.57,0.595,530,70,159
14.18,0.695,490,40,69
10.91,0.991,550,70,145
8.48,0.989,670,60,104
16.83,0.805,470,30,155
9.15,0.848,610,70,206
11.64,0.73,550,60,198
14.71,0.511,460,70,247
10.98,0.843,600,60,108
14.04,0.571,500,80,96
11.97,0.514,500,60,173
12.98,0.981,460,50,110
14.59,0.569,510,80,134
13.95,0.767,530,70,129
10.67,0.855,580,60,92
12.33,0.74,540,60,142
14.1,0.688,530,60,132
12.08,0.66,520,70,77
12.93,0.683,540,80,175
12.34,0.687,530,110,92
12.97,0.712,500,60,194
13.13,0.579,540,90,172
10.02,0.989,630,60,195
13.26,0.661,630,40,117
10.55,0.959,660,90,116
13.56,0.651,470,80,230
11.89,0.607,580,70,52
11.13,0.994,570,60,313
13.24,0.616,480,50,99
11.12,0.584,530,60,102
13.9,0.601,450,50,154
12.31,0.775,590,80,250
11.01,0.988,570,40,74
11.51,0.899,620,50,48
13.37,0.854,470,80,182
10.88,0.983,600,60,63
11.72,0.951,640,80,123
13.22,0.797,530,40,121
10.75,0.918,610,60,235
14.23,0.517,440,90,160
11.21,0.772,520,70,84
10.15,0.793,610,70,237
10.75,0.756,550,80,350
11.39,0.691,570,100,200
10.51,0.847,560,60,103
8.79,0.779,630,50,174
13.25,0.823,580,90,268
13.05,0.572,480,60,101
9.82,0.989,580,90,179
10.49,0.844,580,50,131
12.29,0.711,530,70,90
12.18,0.873,590,70,203
9.34,0.976,650,70,189
11.79,0.514,550,40,120
10.91,0.756,590,40,389
14.4,0.757,520,70,317
12.44,0.901,480,60,67
11.85,0.808,580,70,163
10.18,0.752,620,80,235
14.16,0.721,540,90,143
14.4,0.55,480,60,197
11.79,0.829,520,120,175
11.24,0.827,630,100,161
13.12,0.97,600,90,172
14.3,0.584,420,80,157
13.39,0.801,510,70,224
10.7,0.684,540,30,53
11.42,0.719,610,40,84
13.52,0.791,510,50,150
12.39,0.637,610,60,341
8.63,0.968,720,60,235
10.42,0.577,590,50,153
10.26,0.746,550,60,118
17.7,0.596,470,80,242
17.21,0.59,430,50,173
13.28,0.539,510,80,241
15.39,0.53,540,50,146
12.66,0.729,540,90,431
15.63,0.567,430,70,259
14.44,0.532,500,50,39
11.69,0.993,540,50,242
12.24,0.799,540,90,127
12.29,0.992,550,70,135
12.24,0.997,510,60,191
11.81,0.684,570,50,126
12.8,0.972,510,40,155
10.81,0.999,590,80,125
12.31,0.663,530,50,125
11.47,0.605,530,60,231
12.23,0.506,460,30,114
12.34,0.916,570,60,98
11.83,0.675,580,70,127
10.31,0.956,590,80,310
11.4,0.59,600,40,139
11.68,0.577,580,70,118
12.51,0.605,520,40,64
12.08,0.769,500,80,185
15.04,0.847,580,30,103
13.19,0.979,630,40,179
14.46,0.759,570,50,71
12.69,0.588,520,80,78
12.06,0.812,480,70,257
13.13,0.633,530,40,300
16.04,0.573,410,80,122
11.21,0.612,520,90,297
13.72,0.649,500,40,104
13.33,0.596,500,90,123
12.8,0.539,540,60,134
10.59,0.963,560,50,127
12.34,0.793,560,60,148
10.42,0.883,600,100,190
11.05,0.819,580,70,179
17.56,0.703,530,70,93
12.78,0.591,540,100,393
13.52,0.78,470,40,76
9.45,0.964,640,50,233
7.96,0.989,670,60,189
12.6,0.565,520,90,170
13.99,0.631,470,60,257
11.51,0.852,540,70,283
9.67,0.596,610,70,82
13.04,0.841,490,60,187
12.58,0.541,580,40,111
12.89,0.72,620,60,91
12.65,0.86,480,30,53
10.27,0.731,630,90,125
10.68,0.635,610,70,307
10.03,0.997,620,80,185
14.14,0.765,570,30,76
10.88,0.925,570,70,157
11.99,0.713,550,90,123
11.32,0.804,520,40,76
11.33,0.794,530,80,230
14.02,0.567,500,80,117
13.83,0.711,490,100,182
11.03,0.733,600,20,168
12.6,0.828,570,90,132
11.35,0.787,550,70,182
10.65,0.907,630,50,74
13.85,0.547,550,50,30
10.97,0.638,550,60,236
12.42,0.636,460,90,195
12.1,0.622,510,80,177
14,0.512,520,70,195
11.93,0.806,480,80,199
14.55,0.581,480,70,87
14.39,0.782,590,60,50
